Year,Month,Total_Num_Reports,Num_Reports_Lake,Num_Reports_Rivers,Num_Reports_Marine,Num_Reports_Other,Num_Reports_NoAdvisory,Num_Reports_Caution,Num_Reports_Warning,Num_Reports_Danger,Num_Reports_UnknownAdvisory,Percent_Lake,Percent_River,Percent_Marine,Percent_Other,Percent_NoAdvisory,Percent_Caution,Percent_Warning,Percent_Danger,Percent_UnknownAdvisory,blue green algae
2018,7,43,21.0,17.0,1.0,4.0,0.0,6.0,1.0,3.0,33.0,0.4883720930232558,0.3953488372093023,0.023255813953488372,0.09302325581395349,0.0,0.13953488372093023,0.023255813953488372,0.06976744186046512,0.7674418604651163,13
2018,8,26,17.0,7.0,0.0,2.0,0.0,4.0,1.0,7.0,14.0,0.6538461538461539,0.2692307692307692,0.0,0.07692307692307693,0.0,0.15384615384615385,0.038461538461538464,0.2692307692307692,0.5384615384615384,10
2018,9,13,11.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,8.0,0.8461538461538461,0.07692307692307693,0.0,0.07692307692307693,0.0,0.23076923076923078,0.0,0.15384615384615385,0.6153846153846154,8
2018,10,5,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.6,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.8,7
2018,11,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5
2018,12,5,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.6,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.6,5
2019,1,7,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.14285714285714285,4
2019,2,37,36.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,0.972972972972973,0.02702702702702703,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.9459459459459459,7
2019,3,4,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.5,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.75,7
2019,4,5,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.8,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.6,5
2019,5,26,25.0,1.0,0.0,0.0,0.0,9.0,1.0,4.0,12.0,0.9615384615384616,0.038461538461538464,0.0,0.0,0.0,0.34615384615384615,0.038461538461538464,0.15384615384615385,0.46153846153846156,9
2019,6,26,19.0,1.0,0.0,6.0,0.0,4.0,2.0,1.0,19.0,0.7307692307692307,0.038461538461538464,0.0,0.23076923076923078,0.0,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.7307692307692307,10
2019,7,56,40.0,4.0,8.0,4.0,0.0,8.0,4.0,5.0,39.0,0.7142857142857143,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.08928571428571429,0.6964285714285714,13
2019,8,35,27.0,5.0,0.0,3.0,0.0,18.0,1.0,1.0,15.0,0.7714285714285715,0.14285714285714285,0.0,0.08571428571428572,0.0,0.5142857142857142,0.02857142857142857,0.02857142857142857,0.42857142857142855,100
2019,9,46,35.0,10.0,0.0,1.0,0.0,15.0,1.0,1.0,29.0,0.7608695652173914,0.21739130434782608,0.0,0.021739130434782608,0.0,0.32608695652173914,0.021739130434782608,0.021739130434782608,0.6304347826086957,29
2019,10,6,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,6
2019,11,4,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.75,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.5,6
2019,12,4,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.75,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.25,5
2020,1,70,65.0,0.0,1.0,4.0,0.0,35.0,8.0,4.0,23.0,0.9285714285714286,0.0,0.014285714285714285,0.05714285714285714,0.0,0.5,0.11428571428571428,0.05714285714285714,0.32857142857142857,6
2020,2,9,9.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.4444444444444444,5
2020,3,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,5
2020,4,4,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.75,5
2020,5,36,26.0,2.0,6.0,2.0,0.0,1.0,1.0,1.0,33.0,0.7222222222222222,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.9166666666666666,9
2020,6,26,10.0,5.0,8.0,3.0,1.0,11.0,0.0,3.0,11.0,0.38461538461538464,0.19230769230769232,0.3076923076923077,0.11538461538461539,0.038461538461538464,0.4230769230769231,0.0,0.11538461538461539,0.4230769230769231,14
2020,7,51,32.0,9.0,1.0,9.0,0.0,20.0,4.0,13.0,14.0,0.6274509803921569,0.17647058823529413,0.0196078431372549,0.17647058823529413,0.0,0.39215686274509803,0.0784313725490196,0.2549019607843137,0.27450980392156865,12
2020,8,81,45.0,26.0,1.0,9.0,0.0,33.0,2.0,8.0,38.0,0.5555555555555556,0.32098765432098764,0.012345679012345678,0.1111111111111111,0.0,0.4074074074074074,0.024691358024691357,0.09876543209876543,0.4691358024691358,11
2020,9,41,14.0,10.0,0.0,17.0,0.0,27.0,0.0,1.0,13.0,0.34146341463414637,0.24390243902439024,0.0,0.4146341463414634,0.0,0.6585365853658537,0.0,0.024390243902439025,0.3170731707317073,8
2020,10,26,15.0,4.0,0.0,7.0,0.0,14.0,1.0,2.0,9.0,0.5769230769230769,0.15384615384615385,0.0,0.2692307692307692,0.0,0.5384615384615384,0.038461538461538464,0.07692307692307693,0.34615384615384615,5
2020,11,7,3.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.14285714285714285,7
